8/11 18:44:45.464  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1
8/11 18:44:56.734  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,190127,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,148,215,-1,1,0,0,0,nil,nil,nil
8/11 18:44:56.734  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,52212,"Death and Decay",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,190036,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,90,89,-1,32,0,0,0,nil,nil,nil
8/11 18:44:56.934  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F208F,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,189958,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,78,112,-1,1,0,0,0,nil,nil,nil
8/11 18:44:57.067  SPELL_PERIODIC_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,55078,"Blood Plague",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,189801,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,157,155,-1,32,0,0,0,nil,nil,nil
8/11 18:44:57.168  SWING_MISSED,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,ABSORB,nil,798,1595
8/11 18:44:57.569  SPELL_DAMAGE,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,222418,"Heart Strike",0x1,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,189622,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,178,258,-1,1,0,0,0,nil,nil,nil
8/11 18:44:57.700  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F2096,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,189544,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,78,112,-1,1,0,0,0,nil,nil,nil
8/11 18:44:57.800  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,52212,"Death and Decay",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,189454,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,89,89,-1,32,0,0,0,nil,nil,nil
8/11 18:44:58.034  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F208F,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,189376,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,78,112,-1,1,0,0,0,nil,nil,nil
8/11 18:44:58.168  SWING_DAMAGE_LANDED,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,187817,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,1559,1137,-1,1,0,0,0,1,nil,nil
